Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID,Level ID,Leverage,Margin
CME_MINI:ES1!,Buy,Market,5,,,6931.75,Filled,,2/11/26 16:26,2/11/26 16:26,2749621212,,20:01,"86,646.88 USD"
CME_MINI:ES1!,Sell,Stop,5,,6935,6934.75,Filled,,2/11/26 16:24,2/11/26 16:24,2749607594,,20:01,"86,687.50 USD"
CME_MINI:ES1!,Buy,Market,5,,,6945.5,Filled,,2/11/26 16:20,2/11/26 16:20,2749574330,,20:01,"86,818.75 USD"
CME_MINI:ES1!,Sell,Stop,5,,6946.5,6946.5,Filled,,2/11/26 16:19,2/11/26 16:19,2749566520,,20:01,"86,831.25 USD"
CME_MINI:ES1!,Buy,Market,5,,,6950.75,Filled,,2/11/26 16:18,2/11/26 16:18,2749552271,,20:01,"86,884.38 USD"
CME_MINI:ES1!,Sell,Stop,5,,6950.75,6950.75,Filled,,2/11/26 16:16,2/11/26 16:16,2749540416,,20:01,"86,884.38 USD"
CME_MINI:ES1!,Buy,Market,5,,,6954.25,Filled,,2/11/26 16:14,2/11/26 16:14,2749520230,,20:01,"86,928.13 USD"
CME_MINI:ES1!,Sell,Limit,5,6949.5,,6949.5,Filled,,2/11/26 16:13,2/11/26 16:13,2749507273,,20:01,"86,868.75 USD"
CME_MINI:ES1!,Buy,Market,5,,,6954,Filled,,2/11/26 16:13,2/11/26 16:13,2749504340,,20:01,"86,925.00 USD"
CME_MINI:ES1!,Sell,Limit,5,6959.75,,6960.5,Filled,,2/11/26 16:11,2/11/26 16:11,2749489657,,20:01,"86,996.88 USD"
CME_MINI:ES1!,Buy,Market,5,,,6963.75,Filled,,2/11/26 16:10,2/11/26 16:10,2749474854,,20:01,"87,046.88 USD"
CME_MINI:ES1!,Sell,Limit,5,6964.25,,6965.75,Filled,,2/11/26 16:10,2/11/26 16:10,2749472681,,20:01,"87,053.13 USD"
CME_MINI:ES1!,Buy,Market,5,,,6967.75,Filled,,2/11/26 16:09,2/11/26 16:09,2749467707,,20:01,"87,096.88 USD"
CME_MINI:ES1!,Sell,Limit,5,6968.5,,6968.5,Filled,,2/11/26 16:09,2/11/26 16:09,2749462244,,20:01,"87,106.25 USD"
CME_MINI:ES1!,Buy,Market,5,,,6971.25,Filled,,2/11/26 16:08,2/11/26 16:08,2749458076,,20:01,"87,140.63 USD"
CME_MINI:ES1!,Sell,Limit,5,6972.75,,6973.25,Filled,,2/11/26 16:05,2/11/26 16:05,2749426362,,20:01,"87,159.38 USD"
CME_MINI:ES1!,Sell,Market,5,,,6973.5,Filled,,2/11/26 10:31,2/11/26 10:31,2748060034,,20:01,"87,168.75 USD"
CME_MINI:ES1!,Buy,Limit,5,6975.25,,6975.25,Filled,,2/11/26 10:29,2/11/26 10:29,2748056154,,20:01,"87,190.63 USD"
CME_MINI:ES1!,Sell,Stop,5,,6972.75,6973,Filled,,2/11/26 10:13,2/11/26 10:19,2748024142,,,
CME_MINI:ES1!,Buy,Limit,5,6975.5,,6975.5,Filled,,2/11/26 10:03,2/11/26 10:03,2747999561,,20:01,"87,193.75 USD"
CME_MINI:ES1!,Sell,Market,5,,,6997.25,Filled,,2/10/26 15:56,2/10/26 15:56,2744987017,,20:01,"87,465.63 USD"
CME_MINI:ES1!,Buy,Limit,5,6994.5,,6994,Filled,,2/10/26 15:54,2/10/26 15:55,2744962758,,20:01,"87,431.25 USD"
CME_MINI:ES1!,Sell,Market,5,,,6994.25,Filled,,2/10/26 15:32,2/10/26 15:32,2744711867,,20:01,"87,428.13 USD"
CME_MINI:ES1!,Buy,Limit,5,6992.5,,6992.5,Filled,,2/10/26 15:31,2/10/26 15:31,2744692729,,20:01,"87,406.25 USD"
CME_MINI:ES1!,Sell,Market,5,,,6979.5,Filled,,2/10/26 14:32,2/10/26 14:32,2744427309,,20:01,"87,243.75 USD"
CME_MINI:ES1!,Buy,Limit,5,6979.75,,6979.75,Filled,,2/10/26 14:25,2/10/26 14:25,2744396661,,20:01,"87,246.88 USD"
CME_MINI:ES1!,Sell,Market,5,,,6996,Filled,,2/10/26 10:26,2/10/26 10:26,2743783687,,20:01,"87,450.00 USD"
CME_MINI:ES1!,Buy,Limit,5,6996.75,,6996.25,Filled,,2/10/26 10:23,2/10/26 10:23,2743777657,,20:01,"87,459.38 USD"
CME_MINI:ES1!,Sell,Market,5,,,6987.5,Filled,,2/10/26 0:07,2/10/26 0:07,2742532081,,20:01,"87,343.75 USD"
CME_MINI:ES1!,Buy,Stop,5,,6987.75,6987.75,Filled,,2/10/26 0:07,2/10/26 0:07,2742531948,,20:01,"87,346.88 USD"
CME_MINI:ES1!,Sell,Market,5,,,6976.75,Filled,,2/9/26 16:40,2/9/26 16:40,2741094918,,20:01,"87,209.38 USD"
CME_MINI:ES1!,Buy,Limit,5,6971,,6970.75,Filled,,2/9/26 16:31,2/9/26 16:31,2741028262,,20:01,"87,137.50 USD"
